team,group_qualify%,reach_R16%,reach_QF%,reach_SF%,reach_Final%,champion%
Spain,98.16,82.95,65.36999999999999,47.31,34.18,22.259999999999998
Argentina,95.78999999999999,76.9,53.65,37.97,25.88,16.97
France,91.49000000000001,69.06,42.52,28.51,17.8,10.65
Morocco,93.16,58.95,37.18,21.060000000000002,10.41,4.8
England,93.49,61.35,35.0,18.26,9.229999999999999,4.68
Netherlands,88.83,58.75,35.94,18.5,9.6,4.25
Germany,93.41000000000001,59.88,34.589999999999996,17.23,9.22,4.15
Brazil,91.18,56.25,33.87,19.13,8.799999999999999,3.8899999999999997
Portugal,87.08,52.21,30.34,15.629999999999999,7.71,3.62
Japan,86.86,54.83,31.490000000000002,15.4,7.5600000000000005,3.34
Colombia,83.28,46.989999999999995,25.580000000000002,12.35,5.949999999999999,2.62
Croatia,89.62,51.01,26.35,12.17,5.45,2.55
Ecuador,88.96,49.88,25.869999999999997,11.55,5.4,2.11
Uruguay,81.06,45.410000000000004,22.09,9.53,3.64,1.32
Mexico,82.07,39.45,19.11,8.709999999999999,3.45,1.3
Belgium,86.53999999999999,49.99,20.86,9.229999999999999,3.83,1.29
Switzerland,90.13,42.89,21.38,9.65,3.53,1.26
Senegal,71.22,37.64,16.72,7.28,3.0700000000000003,1.11
Turkey,74.85000000000001,38.440000000000005,17.5,8.0,2.86,1.11
Norway,65.69,33.32,13.87,6.03,2.13,0.77
South Korea,79.53,35.24,15.740000000000002,6.35,2.0,0.66
Canada,88.05,37.57,16.91,6.9,2.11,0.65
Austria,66.49000000000001,31.6,13.44,5.48,1.77,0.62
Iran,81.13,41.27,15.64,5.86,2.11,0.6
Algeria,65.60000000000001,31.22,13.05,5.26,1.66,0.6
Australia,69.66,32.39,13.34,5.59,1.78,0.54
United States,66.44,27.950000000000003,10.67,4.04,1.25,0.36
Czechia,72.32,28.299999999999997,11.32,3.88,1.27,0.36
Paraguay,62.43,25.53,9.27,3.36,1.18,0.33
Uzbekistan,58.42,24.060000000000002,8.76,3.17,1.0,0.32
Ivory Coast,70.97,27.63,10.33,3.3300000000000005,0.88,0.25
Egypt,68.26,28.360000000000003,8.98,2.81,0.89,0.22999999999999998
Panama,58.32000000000001,19.57,6.22,1.6500000000000001,0.45999999999999996,0.1
Sweden,46.9,16.13,5.16,1.41,0.38,0.08
Tunisia,43.14,14.14,4.2299999999999995,1.0999999999999999,0.27,0.06999999999999999
Iraq,37.5,12.49,3.6900000000000004,0.9900000000000001,0.27,0.06999999999999999
Scotland,55.26,16.99,5.71,1.53,0.36,0.04
Jordan,34.47,9.959999999999999,2.75,0.6799999999999999,0.1,0.03
DR Congo,38.81,11.73,3.04,0.86,0.15,0.02
Saudi Arabia,41.39,11.959999999999999,2.96,0.64,0.16999999999999998,0.01
Haiti,25.35,4.53,0.7799999999999999,0.13,0.03,0.01
New Zealand,34.73,8.44,1.5599999999999998,0.22999999999999998,0.03,0.0
Curacao,16.43,1.4500000000000002,0.18,0.01,0.0,0.0
Bosnia and Herzegovina,47.73,8.4,1.66,0.36,0.03,0.0
Qatar,40.62,6.0,0.95,0.15,0.0,0.0
South Africa,40.160000000000004,8.68,1.9800000000000002,0.31,0.04,0.0
Cape Verde,35.33,8.780000000000001,1.8900000000000001,0.37,0.1,0.0
Ghana,21.69,3.4799999999999995,0.51,0.05,0.01,0.0
